$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-975756913,1,234,940GZZLUWJN,Willesden Junction Underground Station,bakerloo,Bakerloo,Southbound - Platform 1,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T20:03:52.7881135Z,256,At Stonebridge Park Platform 1,Elephant and Castle,2025-11-27T20:08:08Z,2025-11-27T20:08:08Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:33.783Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",859201331,1,240,940GZZLUWJN,Willesden Junction Underground Station,bakerloo,Bakerloo,Southbound - Platform 1,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T20:03:52.7881135Z,946,Harrow & Wealdstone Siding,Elephant and Castle,2025-11-27T20:19:38Z,2025-11-27T20:19:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:33.783Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2024188308,1,234,940GZZLUWKA,Warwick Avenue Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T20:03:52.7881135Z,1006,At Stonebridge Park Platform 1,Elephant and Castle,2025-11-27T20:20:38Z,2025-11-27T20:20:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:32.962Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1706771732,1,201,940GZZLUMVL,Maida Vale Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T20:03:52.7881135Z,406,Queen's Park North Sidings,Elephant and Castle,2025-11-27T20:10:38Z,2025-11-27T20:10:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:29.02Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1557294697,1,206,940GZZLUMYB,Marylebone Underground Station,bakerloo,Bakerloo,Northbound - Platform 1,outbound,,940GZZLUQPS,Queen's Park Underground Station,2025-11-27T20:03:52.7881135Z,827,At Lambeth North Platform 1,Queen's Park,2025-11-27T20:17:39Z,2025-11-27T20:17:39Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:29.209Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",351511107,1,233,940GZZLUOXC,Oxford Circus Underground Station,bakerloo,Bakerloo,Northbound - Platform 4,outbound,,940GZZLUQPS,Queen's Park Underground Station,2025-11-27T20:03:52.7881135Z,166,At Piccadilly Circus Platform 1,Queen's Park,2025-11-27T20:06:38Z,2025-11-27T20:06:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:29.615Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-905953479,1,234,940GZZLUPCC,Piccadilly Circus Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T20:03:52.7881135Z,1727,At Stonebridge Park Platform 1,Elephant and Castle,2025-11-27T20:32:39Z,2025-11-27T20:32:39Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:30.318Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-573062054,1,234,940GZZLUKPK,Kilburn Park Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T20:03:52.7881135Z,826,At Stonebridge Park Platform 1,Elephant and Castle,2025-11-27T20:17:38Z,2025-11-27T20:17:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:28.562Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2106631999,1,234,940GZZLUKSL,Kensal Green Underground Station,bakerloo,Bakerloo,Southbound - Platform 1,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T20:03:52.7881135Z,407,At Stonebridge Park Platform 1,Elephant and Castle,2025-11-27T20:10:39Z,2025-11-27T20:10:39Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:28.296Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",455654639,1,203,940GZZLULBN,Lambeth North Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T20:03:52.7881135Z,106,At Waterloo Platform 4,Elephant and Castle,2025-11-27T20:05:38Z,2025-11-27T20:05:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T20:03:28.792Z,2025-11-27T20:03:52Z,0001-01-01T00:00:00,2025-11-27 20:04:20
